,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
1401,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1402,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.016,-0.000,0.000,0.000,-0.004,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,0.000,0.000,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1403,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.032,-0.000,0.000,0.000,-0.007,0.000,0.000,0.000,-0.002,-0.002,0.000,0.000,0.000,0.002,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1404,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.048,-0.000,0.000,0.000,-0.011,0.000,0.000,0.000,-0.005,-0.005,0.000,0.000,0.000,0.003,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1405,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.064,-0.000,0.000,0.000,-0.015,0.000,0.000,0.000,-0.008,-0.008,0.000,0.000,0.000,0.006,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1406,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.080,-0.000,0.000,0.000,-0.018,0.000,0.000,0.000,-0.012,-0.012,0.000,0.000,0.000,0.009,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1407,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.097,-0.001,0.000,0.000,-0.022,0.000,0.000,0.000,-0.016,-0.016,0.000,0.000,0.000,0.012,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1408,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.113,-0.001,0.000,0.000,-0.026,0.000,0.000,0.000,-0.019,-0.019,0.000,0.000,0.000,0.015,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1409,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.129,-0.001,0.000,0.000,-0.030,0.000,0.000,0.000,-0.023,-0.023,0.000,0.000,0.000,0.019,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
1410,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,-0.340,0.820,0.000,0.000,0.145,-0.001,0.000,0.000,-0.033,0.000,0.000,0.000,-0.025,-0.025,0.000,0.000,0.000,0.023,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000
